photo_id,model_name,caption,name,labels,_merge
U-1FRoiQehcAsN4xOutx8A,Salesforce/blip-image-captioning-large,someone is pouring a cup of coffee with a spoon in it,Capital Coffee,fast food,both
U-1FRoiQehcAsN4xOutx8A,Salesforce/blip-image-captioning-base,a woman holding a cup of coffee,Capital Coffee,fast food,both
jBTSlxzDM8XZrX26Lb2CeA,nlpconnect/vit-gpt2-image-captioning,a person holding a cup of coffee in front of a store ,Lilac Pâtisserie,fast food,both
jBTSlxzDM8XZrX26Lb2CeA,Salesforce/blip-image-captioning-large,someone holding a cup of coffee in a coffee shop,Lilac Pâtisserie,fast food,both
jBTSlxzDM8XZrX26Lb2CeA,Salesforce/blip-image-captioning-base,a hand holding a cup of coffee,Lilac Pâtisserie,fast food,both
rJvLjCQbYkQ_plfu6YmItQ,nlpconnect/vit-gpt2-image-captioning,a cake with a pink frosting on it ,Restaurant August,fine dining,both
rJvLjCQbYkQ_plfu6YmItQ,Salesforce/blip-image-captioning-large,there is a yellow macaron with chocolate chips on it,Restaurant August,fine dining,both
rJvLjCQbYkQ_plfu6YmItQ,Salesforce/blip-image-captioning-base,a small dessert on a clear plate,Restaurant August,fine dining,both
2CmoBjiw0GYOCbakHT3dHA,nlpconnect/vit-gpt2-image-captioning,a man holding a glass of orange juice ,Broussard's,fine dining,both
2CmoBjiw0GYOCbakHT3dHA,Salesforce/blip-image-captioning-large,arafed man holding a glass of orange juice in a restaurant,Broussard's,fine dining,both
2CmoBjiw0GYOCbakHT3dHA,Salesforce/blip-image-captioning-base,a man sitting at a table with a glass of orange juice,Broussard's,fine dining,both
wzAtCWMPaUJw6JjE8lGRBA,nlpconnect/vit-gpt2-image-captioning,a table with a large table cloth and a large table cloth ,Union Kitchen & Union Party Room,fast food,both
wzAtCWMPaUJw6JjE8lGRBA,Salesforce/blip-image-captioning-large,there are people standing in a room with a large painting on the wall,Union Kitchen & Union Party Room,fast food,both
wzAtCWMPaUJw6JjE8lGRBA,Salesforce/blip-image-captioning-base,a restaurant with a large painting on the wall,Union Kitchen & Union Party Room,fast food,both
dvjhBtDTx7UBGdCeQBGHzA,nlpconnect/vit-gpt2-image-captioning,a restaurant with tables and chairs and a large window ,Etch,fine dining,both
dvjhBtDTx7UBGdCeQBGHzA,Salesforce/blip-image-captioning-large,tables and chairs in a restaurant with a large window,Etch,fine dining,both
dvjhBtDTx7UBGdCeQBGHzA,Salesforce/blip-image-captioning-base,a restaurant with tables and chairs,Etch,fine dining,both
4fkOz4Igmh0xFhbPe-B9Iw,nlpconnect/vit-gpt2-image-captioning,a plate of food with a spoon ,Restaurant August,fine dining,both
4fkOz4Igmh0xFhbPe-B9Iw,Salesforce/blip-image-captioning-large,there is a bowl of soup with a spoon and a glass of water,Restaurant August,fine dining,both
4fkOz4Igmh0xFhbPe-B9Iw,Salesforce/blip-image-captioning-base,a white plate with food,Restaurant August,fine dining,both
NZH85ge4cvXsQaJR0sqoqA,nlpconnect/vit-gpt2-image-captioning,a bathroom with a sink and a mirror ,Auction House Market,fast food,both
NZH85ge4cvXsQaJR0sqoqA,nlpconnect/vit-gpt2-image-captioning,a bathroom with a sink and a mirror ,Auction House Market,fine dining,both
NZH85ge4cvXsQaJR0sqoqA,Salesforce/blip-image-captioning-large,there are two sinks in the bathroom with a mirror above them,Auction House Market,fast food,both
NZH85ge4cvXsQaJR0sqoqA,Salesforce/blip-image-captioning-large,there are two sinks in the bathroom with a mirror above them,Auction House Market,fine dining,both
NZH85ge4cvXsQaJR0sqoqA,Salesforce/blip-image-captioning-base,a bathroom with a sink and two mirrors,Auction House Market,fast food,both
NZH85ge4cvXsQaJR0sqoqA,Salesforce/blip-image-captioning-base,a bathroom with a sink and two mirrors,Auction House Market,fine dining,both
i5x0NRe8mNpjRt3bOuFbUA,nlpconnect/vit-gpt2-image-captioning,a plate of food with meat and vegetables ,Hattie B's Hot Chicken - Melrose,fast food,both
i5x0NRe8mNpjRt3bOuFbUA,Salesforce/blip-image-captioning-large,there is a plate of food with meat and vegetables on it,Hattie B's Hot Chicken - Melrose,fast food,both
i5x0NRe8mNpjRt3bOuFbUA,Salesforce/blip-image-captioning-base,a table with a tray of food and a tray of fries,Hattie B's Hot Chicken - Melrose,fast food,both
OAkXi2LEO1SAq2auxZpeqQ,nlpconnect/vit-gpt2-image-captioning,a bowl of food with meat and vegetables ,Restaurant August,fine dining,both
OAkXi2LEO1SAq2auxZpeqQ,Salesforce/blip-image-captioning-large,there is a white plate with a meat dish and vegetables,Restaurant August,fine dining,both
OAkXi2LEO1SAq2auxZpeqQ,Salesforce/blip-image-captioning-base,a white plate topped with a dish of food,Restaurant August,fine dining,both
muvVuwefjHmuIID-R3LAIw,nlpconnect/vit-gpt2-image-captioning,a restaurant with tables and chairs and a large clock ,Auction House Market,fast food,both
muvVuwefjHmuIID-R3LAIw,nlpconnect/vit-gpt2-image-captioning,a restaurant with tables and chairs and a large clock ,Auction House Market,fine dining,both
muvVuwefjHmuIID-R3LAIw,Salesforce/blip-image-captioning-large,arafed view of a restaurant with tables and chairs and people sitting at tables,Auction House Market,fast food,both
muvVuwefjHmuIID-R3LAIw,Salesforce/blip-image-captioning-large,arafed view of a restaurant with tables and chairs and people sitting at tables,Auction House Market,fine dining,both
muvVuwefjHmuIID-R3LAIw,Salesforce/blip-image-captioning-base,the dining area at the restaurant,Auction House Market,fast food,both
muvVuwefjHmuIID-R3LAIw,Salesforce/blip-image-captioning-base,the dining area at the restaurant,Auction House Market,fine dining,both
G3erNyqScC-7iH8ubECptA,nlpconnect/vit-gpt2-image-captioning,a kitchen with a large counter top and a large window ,Killer Poboys,fast food,both
G3erNyqScC-7iH8ubECptA,Salesforce/blip-image-captioning-large,arafed view of a restaurant with a menu and a bar,Killer Poboys,fast food,both
G3erNyqScC-7iH8ubECptA,Salesforce/blip-image-captioning-base,the bar at the old school,Killer Poboys,fast food,both
bd5ZDz2kju5l6M-tVN5emA,nlpconnect/vit-gpt2-image-captioning,a restaurant with a large window and a large dining room ,Zeppelin Nashville ,fast food,both
bd5ZDz2kju5l6M-tVN5emA,Salesforce/blip-image-captioning-large,arafed view of a restaurant with a bar and a view of the city,Zeppelin Nashville ,fast food,both
bd5ZDz2kju5l6M-tVN5emA,Salesforce/blip-image-captioning-base,a restaurant with a view of the city,Zeppelin Nashville ,fast food,both
1iPuV14xc8_I0yN1hqjKDg,nlpconnect/vit-gpt2-image-captioning,"a sandwich with lettuce, tomato, and cheese ",Broussard's,fine dining,both
1iPuV14xc8_I0yN1hqjKDg,Salesforce/blip-image-captioning-large,there is a plate of food with a burger and potatoes on it,Broussard's,fine dining,both
1iPuV14xc8_I0yN1hqjKDg,Salesforce/blip-image-captioning-base,a plate with a sandwich and some vegetables,Broussard's,fine dining,both
kiKopRRIqaDIiNb885Cixw,nlpconnect/vit-gpt2-image-captioning,a man in a kitchen preparing food ,Sushi | Bar Montecito,fine dining,both
kiKopRRIqaDIiNb885Cixw,Salesforce/blip-image-captioning-large,several chefs are preparing food in a restaurant kitchen,Sushi | Bar Montecito,fine dining,both
kiKopRRIqaDIiNb885Cixw,Salesforce/blip-image-captioning-base,a group of people are preparing food in a restaurant,Sushi | Bar Montecito,fine dining,both
uMuJZnSYM6xFEW1CXNBH-w,nlpconnect/vit-gpt2-image-captioning,a large room with tables and chairs and people ,Auction House Market,fast food,both
uMuJZnSYM6xFEW1CXNBH-w,nlpconnect/vit-gpt2-image-captioning,a large room with tables and chairs and people ,Auction House Market,fine dining,both
uMuJZnSYM6xFEW1CXNBH-w,Salesforce/blip-image-captioning-large,people sitting at tables in a restaurant with a lot of windows,Auction House Market,fast food,both
uMuJZnSYM6xFEW1CXNBH-w,Salesforce/blip-image-captioning-large,people sitting at tables in a restaurant with a lot of windows,Auction House Market,fine dining,both
uMuJZnSYM6xFEW1CXNBH-w,Salesforce/blip-image-captioning-base,a large room filled with people eating and drinking,Auction House Market,fast food,both
uMuJZnSYM6xFEW1CXNBH-w,Salesforce/blip-image-captioning-base,a large room filled with people eating and drinking,Auction House Market,fine dining,both
i4gB4Y-AP5KKxHc8OF78dQ,nlpconnect/vit-gpt2-image-captioning,a plate of food with a fork on a table ,Angel Oak,fine dining,both
i4gB4Y-AP5KKxHc8OF78dQ,Salesforce/blip-image-captioning-large,there is a steak on a plate with a side of vegetables,Angel Oak,fine dining,both
i4gB4Y-AP5KKxHc8OF78dQ,Salesforce/blip-image-captioning-base,a table with plates of food and uts,Angel Oak,fine dining,both
TVDankvJbhxB0P9oiTPLPg,nlpconnect/vit-gpt2-image-captioning,a man standing in a kitchen with a table ,Pythian Market,fast food,both
TVDankvJbhxB0P9oiTPLPg,Salesforce/blip-image-captioning-large,arafed view of a restaurant with a man standing at the bar,Pythian Market,fast food,both
TVDankvJbhxB0P9oiTPLPg,Salesforce/blip-image-captioning-base,a restaurant with a large plant hanging from the ceiling,Pythian Market,fast food,both
yVmQK2F8x8CwH3At99zuAA,nlpconnect/vit-gpt2-image-captioning,a plate of food with a drink and a piece of cake ,Emeril's Delmonico,fine dining,both
yVmQK2F8x8CwH3At99zuAA,Salesforce/blip-image-captioning-large,araffy birthday card with a cookie and a glass of water,Emeril's Delmonico,fine dining,both
yVmQK2F8x8CwH3At99zuAA,Salesforce/blip-image-captioning-base,a plate with a cookie and a candle on it,Emeril's Delmonico,fine dining,both
J5T7jI5ItNecLuZbYFGpLQ,nlpconnect/vit-gpt2-image-captioning,a man sitting on a bench holding a camera ,PokeCeviche,fast food,both
J5T7jI5ItNecLuZbYFGpLQ,Salesforce/blip-image-captioning-large,araffe sitting on a chair with a dog in his lap,PokeCeviche,fast food,both
J5T7jI5ItNecLuZbYFGpLQ,Salesforce/blip-image-captioning-base,a man sitting at a table with a dog,PokeCeviche,fast food,both
jUH9gH9zaKLPA66nbPONTg,nlpconnect/vit-gpt2-image-captioning,a room with a large window and a large wooden table ,Fulton Alley,fast food,both
jUH9gH9zaKLPA66nbPONTg,Salesforce/blip-image-captioning-large,arafed view of a restaurant with a bar and a lot of chairs,Fulton Alley,fast food,both
jUH9gH9zaKLPA66nbPONTg,Salesforce/blip-image-captioning-base,the bar at the restaurant is empty and empty,Fulton Alley,fast food,both
yYbBYY5XmrrNZza1rSBb8g,nlpconnect/vit-gpt2-image-captioning,a person holding a piece of cake with a spoon ,Auction House Market,fast food,both
yYbBYY5XmrrNZza1rSBb8g,nlpconnect/vit-gpt2-image-captioning,a person holding a piece of cake with a spoon ,Auction House Market,fine dining,both
yYbBYY5XmrrNZza1rSBb8g,Salesforce/blip-image-captioning-large,someone holding a half eaten piece of cake with strawberry filling,Auction House Market,fast food,both
yYbBYY5XmrrNZza1rSBb8g,Salesforce/blip-image-captioning-large,someone holding a half eaten piece of cake with strawberry filling,Auction House Market,fine dining,both
yYbBYY5XmrrNZza1rSBb8g,Salesforce/blip-image-captioning-base,a person holding a piece of cake in their hands,Auction House Market,fast food,both
yYbBYY5XmrrNZza1rSBb8g,Salesforce/blip-image-captioning-base,a person holding a piece of cake in their hands,Auction House Market,fine dining,both
Y5Bj4hhOlOxVcYSUmZKgpQ,nlpconnect/vit-gpt2-image-captioning,a piece of meat on a plate ,Cubaneo,fast food,both
Y5Bj4hhOlOxVcYSUmZKgpQ,Salesforce/blip-image-captioning-large,there is a piece of meat on a paper plate with sauce,Cubaneo,fast food,both
Y5Bj4hhOlOxVcYSUmZKgpQ,Salesforce/blip-image-captioning-base,a plate with meat and sauce on it,Cubaneo,fast food,both
XGgQxr-D5dUIilkh_6dEsQ,nlpconnect/vit-gpt2-image-captioning,a salad with a side of vegetables on a plate ,Restaurant R'evolution,fine dining,both
XGgQxr-D5dUIilkh_6dEsQ,Salesforce/blip-image-captioning-large,there is a plate of salad on a table with wine glasses,Restaurant R'evolution,fine dining,both
XGgQxr-D5dUIilkh_6dEsQ,Salesforce/blip-image-captioning-base,a plate with a salad on it,Restaurant R'evolution,fine dining,both
UZdZDTharR3UW-D3ktoPpA,nlpconnect/vit-gpt2-image-captioning,a table topped with plates of food and a drink ,Mas Tacos Por Favor,fast food,both
UZdZDTharR3UW-D3ktoPpA,Salesforce/blip-image-captioning-large,several plates of food are arranged on a table with drinks,Mas Tacos Por Favor,fast food,both
UZdZDTharR3UW-D3ktoPpA,Salesforce/blip-image-captioning-base,a table with a bunch of taco taco taco taco taco taco ta,Mas Tacos Por Favor,fast food,both
GIYUAr6zoqi6mKK6fYkKMw,nlpconnect/vit-gpt2-image-captioning,a orange is sitting on a table with a glass of orange juice ,Cafe Sbisa,fine dining,both
GIYUAr6zoqi6mKK6fYkKMw,Salesforce/blip-image-captioning-large,there is a glass of orange juice on a table outside,Cafe Sbisa,fine dining,both
GIYUAr6zoqi6mKK6fYkKMw,Salesforce/blip-image-captioning-base,a cocktail sitting on top of a table,Cafe Sbisa,fine dining,both
FlD8orEaYJzZwK-oeYwSKw,nlpconnect/vit-gpt2-image-captioning,a plate of food with a drink and a beer ,TailGate Brewery Music Row,fast food,both
FlD8orEaYJzZwK-oeYwSKw,Salesforce/blip-image-captioning-large,there is a plate of salad and a glass of beer on a table,TailGate Brewery Music Row,fast food,both
FlD8orEaYJzZwK-oeYwSKw,Salesforce/blip-image-captioning-base,a plate of food and a glass of beer,TailGate Brewery Music Row,fast food,both
5zX5vPMu6gYiPbxvM7jXrQ,nlpconnect/vit-gpt2-image-captioning,a sandwich and a drink on a plate ,Biscuit Love: Gulch,fast food,both
5zX5vPMu6gYiPbxvM7jXrQ,Salesforce/blip-image-captioning-large,there is a sandwich and a drink on a table,Biscuit Love: Gulch,fast food,both
5zX5vPMu6gYiPbxvM7jXrQ,Salesforce/blip-image-captioning-base,a plate with a piece of bread on it,Biscuit Love: Gulch,fast food,both
0GCQc1j-MIoqHkQWtIii7w,nlpconnect/vit-gpt2-image-captioning,a plate of food with a salad and a side of vegetables ,The Mason Jar,fast food,both
0GCQc1j-MIoqHkQWtIii7w,Salesforce/blip-image-captioning-large,"a close up of a salad with cucumbers, tomatoes, and bread",The Mason Jar,fast food,both
0GCQc1j-MIoqHkQWtIii7w,Salesforce/blip-image-captioning-base,a bowl of salad with spinets and tomatoes,The Mason Jar,fast food,both
hziEKnXsbBeTbpmqeR3yYw,nlpconnect/vit-gpt2-image-captioning,a plate of food with meat and vegetables ,Marsh House,fine dining,both
hziEKnXsbBeTbpmqeR3yYw,Salesforce/blip-image-captioning-large,there is a bowl of soup with shrimp and vegetables on a table,Marsh House,fine dining,both
hziEKnXsbBeTbpmqeR3yYw,Salesforce/blip-image-captioning-base,a bowl of soup with shrimp and shrimp,Marsh House,fine dining,both
a8cVlIBv2ztpNq-zU93Ghw,nlpconnect/vit-gpt2-image-captioning,two men standing in front of a building with a clock ,Jeff Ruby's Steakhouse- Nashville,fine dining,both
a8cVlIBv2ztpNq-zU93Ghw,Salesforce/blip-image-captioning-large,people walking in front of a restaurant with a sign that says joe's cafe,Jeff Ruby's Steakhouse- Nashville,fine dining,both
a8cVlIBv2ztpNq-zU93Ghw,Salesforce/blip-image-captioning-base,a man walking down the sidewalk in front of a restaurant,Jeff Ruby's Steakhouse- Nashville,fine dining,both
yhD5ccE4GvWZcoMdB_zCNA,nlpconnect/vit-gpt2-image-captioning,a plate of food with a piece of cake ,District Donuts Sliders Brew,fast food,both
yhD5ccE4GvWZcoMdB_zCNA,Salesforce/blip-image-captioning-large,two cookies are on a tray with a cup of coffee,District Donuts Sliders Brew,fast food,both
yhD5ccE4GvWZcoMdB_zCNA,Salesforce/blip-image-captioning-base,chocolate chip cookies with coconut,District Donuts Sliders Brew,fast food,both
9hT707Gw9dkCSNqF-i73Ug,nlpconnect/vit-gpt2-image-captioning,a man standing in front of a stage with a microphone ,Martin's Bar-B-Que Joint,fast food,both
9hT707Gw9dkCSNqF-i73Ug,Salesforce/blip-image-captioning-large,people are sitting on a stage with a band playing,Martin's Bar-B-Que Joint,fast food,both
9hT707Gw9dkCSNqF-i73Ug,Salesforce/blip-image-captioning-base,a group of people on stage with a microphone,Martin's Bar-B-Que Joint,fast food,both
ihJE1TqeFjMWFgP2uDZj1A,nlpconnect/vit-gpt2-image-captioning,a coffee cup with a picture of a cow on it ,Hattie B’s Hot Chicken - Nashville,fast food,both
ihJE1TqeFjMWFgP2uDZj1A,Salesforce/blip-image-captioning-large,a close up of a cup with a lid on a table,Hattie B’s Hot Chicken - Nashville,fast food,both
ihJE1TqeFjMWFgP2uDZj1A,Salesforce/blip-image-captioning-base,a cup with a red and white logo on it,Hattie B’s Hot Chicken - Nashville,fast food,both
eFAL1krLttq-pMB7jQNUPA,nlpconnect/vit-gpt2-image-captioning,a man is looking at a menu on a laptop ,Etch,fine dining,both
eFAL1krLttq-pMB7jQNUPA,Salesforce/blip-image-captioning-large,there are a lot of people in the kitchen preparing food,Etch,fine dining,both
eFAL1krLttq-pMB7jQNUPA,Salesforce/blip-image-captioning-base,a menu with a picture of a restaurant,Etch,fine dining,both
Io3T1kdiMxMDytnkP_FWGA,nlpconnect/vit-gpt2-image-captioning,a window with a painting of a building ,Cafe Beignet on Decatur Street,fast food,both
Io3T1kdiMxMDytnkP_FWGA,Salesforce/blip-image-captioning-large,painting of a storefront with a cat in the window,Cafe Beignet on Decatur Street,fast food,both
Io3T1kdiMxMDytnkP_FWGA,Salesforce/blip-image-captioning-base,a painting of a storefront with a cat sitting on the front,Cafe Beignet on Decatur Street,fast food,both
q96LKmdGQhRO0RKOv6ZQTA,nlpconnect/vit-gpt2-image-captioning,a pizza with cheese and toppings on a table ,Michaelangelo's Pizza,fast food,both
q96LKmdGQhRO0RKOv6ZQTA,Salesforce/blip-image-captioning-large,pizza in a box with a slice missing from it,Michaelangelo's Pizza,fast food,both
q96LKmdGQhRO0RKOv6ZQTA,Salesforce/blip-image-captioning-base,a pizza with a heart shaped pizza on it,Michaelangelo's Pizza,fast food,both
zsrxhptjVz6YVk2ddb9bUg,nlpconnect/vit-gpt2-image-captioning,a row of chairs with chairs in a room ,The Terminal Cafe,fast food,both
zsrxhptjVz6YVk2ddb9bUg,Salesforce/blip-image-captioning-large,a close up of a row of chairs in a room,The Terminal Cafe,fast food,both
zsrxhptjVz6YVk2ddb9bUg,Salesforce/blip-image-captioning-base,a room with chairs and a painting on the wall,The Terminal Cafe,fast food,both
utkDnVjISbvWUcw2FsowWQ,nlpconnect/vit-gpt2-image-captioning,a plate of food with meat and vegetables ,Restaurant Rebirth,fast food,both
utkDnVjISbvWUcw2FsowWQ,Salesforce/blip-image-captioning-large,there is a plate of food on a table with a woman in the background,Restaurant Rebirth,fast food,both
utkDnVjISbvWUcw2FsowWQ,Salesforce/blip-image-captioning-base,a plate of food on a table with people in the background,Restaurant Rebirth,fast food,both
psA8BWDeWtWv0oZUOgAMFA,nlpconnect/vit-gpt2-image-captioning,a woman sitting at a table with a vase of flowers ,Coffee and Coconuts,fast food,both
psA8BWDeWtWv0oZUOgAMFA,Salesforce/blip-image-captioning-large,arafed woman sitting at a table with a coconut drink in front of her,Coffee and Coconuts,fast food,both
psA8BWDeWtWv0oZUOgAMFA,Salesforce/blip-image-captioning-base,a woman sitting at a table with a drink,Coffee and Coconuts,fast food,both
k8KzOIdWe93YI7Pv75Z-lQ,nlpconnect/vit-gpt2-image-captioning,a glass of water with a flower in it ,Saint John,fine dining,both
k8KzOIdWe93YI7Pv75Z-lQ,Salesforce/blip-image-captioning-large,there is a glass of alcohol with a gold decoration on the rim,Saint John,fine dining,both
k8KzOIdWe93YI7Pv75Z-lQ,Salesforce/blip-image-captioning-base,a cocktail with orange and orange garn,Saint John,fine dining,both
w0tDRZE2g-Ymrg2Sm0G2lA,nlpconnect/vit-gpt2-image-captioning,a white plate with a piece of food on it ,The Caribbean Room,fine dining,both
w0tDRZE2g-Ymrg2Sm0G2lA,Salesforce/blip-image-captioning-large,there is a white plate with a small dish of food on it,The Caribbean Room,fine dining,both
w0tDRZE2g-Ymrg2Sm0G2lA,Salesforce/blip-image-captioning-base,a white plate topped with a small piece of food,The Caribbean Room,fine dining,both
kVgQ7s4Wu4YBVAomJBehlw,nlpconnect/vit-gpt2-image-captioning,a cake with a person holding a knife on top of it ,Tableau,fine dining,both
kVgQ7s4Wu4YBVAomJBehlw,Salesforce/blip-image-captioning-large,someone is holding a plate with a cake on it that says t,Tableau,fine dining,both
kVgQ7s4Wu4YBVAomJBehlw,Salesforce/blip-image-captioning-base,a person holding a plate with a cake on it,Tableau,fine dining,both
6JSskEgLNksIUa5jDNXs9A,nlpconnect/vit-gpt2-image-captioning,a bowl of food with vegetables and meat ,PokeCeviche,fast food,both
6JSskEgLNksIUa5jDNXs9A,Salesforce/blip-image-captioning-large,there is a bowl of food with rice and vegetables in it,PokeCeviche,fast food,both
6JSskEgLNksIUa5jDNXs9A,Salesforce/blip-image-captioning-base,a bowl filled with watermel and other ingredients,PokeCeviche,fast food,both
MkCp0bcfjxEGRBzGCrKxGg,nlpconnect/vit-gpt2-image-captioning,a restaurant with tables and chairs and a large window ,Auction House Market,fast food,both
MkCp0bcfjxEGRBzGCrKxGg,nlpconnect/vit-gpt2-image-captioning,a restaurant with tables and chairs and a large window ,Auction House Market,fine dining,both
MkCp0bcfjxEGRBzGCrKxGg,Salesforce/blip-image-captioning-large,there are people standing at the counter of a restaurant,Auction House Market,fast food,both
MkCp0bcfjxEGRBzGCrKxGg,Salesforce/blip-image-captioning-large,there are people standing at the counter of a restaurant,Auction House Market,fine dining,both
MkCp0bcfjxEGRBzGCrKxGg,Salesforce/blip-image-captioning-base,a restaurant with tables and chairs in it,Auction House Market,fast food,both
MkCp0bcfjxEGRBzGCrKxGg,Salesforce/blip-image-captioning-base,a restaurant with tables and chairs in it,Auction House Market,fine dining,both
xcdEQhjozSwhyTl50I0zYA,nlpconnect/vit-gpt2-image-captioning,a banana and a piece of chocolate on a table ,The Catbird Seat,fine dining,both
xcdEQhjozSwhyTl50I0zYA,Salesforce/blip-image-captioning-large,there are two cookies on a plate with a card on top,The Catbird Seat,fine dining,both
xcdEQhjozSwhyTl50I0zYA,Salesforce/blip-image-captioning-base,a bowl filled with nuts and a note,The Catbird Seat,fine dining,both
G8XIw30MbrdIwCVDxLB1cA,nlpconnect/vit-gpt2-image-captioning,"a sandwich with meat, lettuce, tomato and cheese ",McAlister's Deli,fast food,both
G8XIw30MbrdIwCVDxLB1cA,Salesforce/blip-image-captioning-large,"there is a sandwich with meat, lettuce, tomato, and cheese",McAlister's Deli,fast food,both
G8XIw30MbrdIwCVDxLB1cA,Salesforce/blip-image-captioning-base,"a sandwich with bacon, let let the buns and let the buns",McAlister's Deli,fast food,both
